game_id,panthers_where,result,panthers_score,opponent_score,panthers_shotsOnGoal,opponent_shotsOnGoal,season
2015020339,home,win,3,2,27,25,2015-2016
2015020354,away,win,2,1,32,29,2015-2016
2015020363,away,win,3,1,23,30,2015-2016
2015020378,away,win,2,1,16,33,2015-2016
2015020383,away,win,2,1,32,23,2015-2016
2015020400,away,loss,2,4,36,18,2015-2016
2015020412,home,loss,2,4,27,23,2015-2016
2015020423,home,win,4,1,26,21,2015-2016
2015020435,away,loss,1,3,27,25,2015-2016
2015020454,away,win,5,1,17,34,2015-2016
2015020467,away,win,5,1,26,16,2015-2016
2015020479,away,win,2,0,18,24,2015-2016
2015020493,home,win,5,4,42,34,2015-2016
2015020511,home,win,2,1,40,16,2015-2016
2015020527,home,win,3,2,32,17,2015-2016
2015020545,home,win,3,1,30,30,2015-2016
2015020572,home,win,3,0,20,40,2015-2016
2015020580,home,win,2,1,29,40,2015-2016
2015020589,away,win,5,1,27,32,2015-2016
2015020602,away,win,3,2,16,32,2015-2016
2015020629,away,win,2,1,14,25,2015-2016
2015020632,away,overtime loss,2,3,28,30,2015-2016
2015020644,away,loss,0,6,15,36,2015-2016
2015020672,away,loss,1,3,27,32,2015-2016
2015020677,home,loss,2,4,33,24,2015-2016
2015020707,home,win,4,0,32,27,2015-2016
2015020714,home,win,5,2,35,40,2015-2016
2015020736,home,win,5,1,27,23,2015-2016
2015020749,away,win,5,2,19,38,2015-2016
2015020764,home,win,6,3,33,39,2015-2016
2015020781,home,overtime loss,2,3,44,35,2015-2016
2015020793,away,loss,0,3,23,31,2015-2016
2015020795,away,win,7,4,35,34,2015-2016
2015020823,home,loss,3,5,32,28,2015-2016
2015020827,home,loss,0,5,22,28,2015-2016
2015020842,home,win,2,1,28,32,2015-2016
2015020863,home,loss,1,2,20,18,2015-2016
2015020877,home,win,3,1,32,30,2015-2016
2015020909,home,win,3,2,25,24,2015-2016
2015020923,away,loss,3,4,31,25,2015-2016
2015020932,away,loss,1,3,18,27,2015-2016
2015020949,away,win,3,2,22,32,2015-2016
2015020962,away,loss,2,3,40,26,2015-2016
2015020978,away,loss,1,5,33,26,2015-2016
2015020988,home,overtime loss,4,5,51,32,2015-2016
2015021010,home,win,6,2,31,28,2015-2016
2015021023,home,win,5,4,29,26,2015-2016
2015021033,away,loss,2,3,25,28,2015-2016
2015021043,away,win,4,1,36,28,2015-2016
2015021056,away,win,4,1,32,33,2015-2016
2015021072,home,loss,3,5,26,30,2015-2016
2015021086,away,loss,2,4,27,32,2015-2016
2015021101,away,win,4,1,36,35,2015-2016
2015021122,away,win,5,2,27,35,2015-2016
2015021144,home,loss,2,5,34,29,2015-2016
2015021157,home,win,3,2,40,25,2015-2016
2015021172,home,win,4,3,39,28,2015-2016
2015021185,away,win,4,3,36,26,2015-2016
2015021192,away,win,4,1,19,33,2015-2016
2015021208,away,loss,1,3,34,23,2015-2016
2015021221,home,win,5,2,21,28,2015-2016
2015030111,home,loss,4,5,46,26,2015-2016
2015030112,home,win,3,1,31,42,2015-2016
2015030113,away,overtime loss,3,4,39,39,2015-2016
2015030114,away,win,2,1,29,27,2015-2016
2015030115,home,loss,1,2,48,42,2015-2016
2015030116,away,loss,1,2,42,51,2015-2016
2016010018,home,win,4,1,23,37,2016-2017
2016010019,home,loss,1,2,19,22,2016-2017
2016010036,away,loss,0,2,21,28,2016-2017
2016010060,home,overtime loss,1,2,0,0,2016-2017
2016010072,away,loss,1,2,28,35,2016-2017
2016010099,home,win,4,2,0,0,2016-2017
2016020010,home,win,2,1,34,24,2016-2017
2016020020,home,win,4,1,38,22,2016-2017
2016020042,away,loss,3,4,31,28,2016-2017
2016020056,home,loss,2,4,28,29,2016-2017
2016020068,home,win,5,2,38,28,2016-2017
2016020086,away,loss,2,3,22,22,2016-2017
2016020101,away,loss,2,3,31,28,2016-2017
2016020113,away,loss,0,3,33,25,2016-2017
2016020124,away,win,5,2,24,36,2016-2017
2016020136,home,loss,1,2,34,26,2016-2017
2016020152,home,win,4,3,31,34,2016-2017
2016020168,away,loss,2,4,24,36,2016-2017
2016020182,home,win,3,1,32,35,2016-2017
2016020202,home,loss,2,4,24,29,2016-2017
2016020214,home,win,3,2,43,21,2016-2017
2016020234,away,win,4,3,24,37,2016-2017
2016020247,away,loss,1,6,27,30,2016-2017
2016020265,away,win,4,1,23,40,2016-2017
2016020272,away,win,3,2,30,35,2016-2017
2016020286,home,loss,1,3,39,28,2016-2017
2016020316,home,win,2,1,23,37,2016-2017
2016020324,away,loss,2,3,33,27,2016-2017
2016020336,away,loss,1,2,39,33,2016-2017
2016020350,away,win,2,1,30,21,2016-2017
2016020363,away,loss,0,2,24,21,2016-2017
2016020378,away,overtime loss,3,4,30,36,2016-2017
2016020385,away,overtime loss,2,3,44,25,2016-2017
2016020400,home,loss,1,5,29,30,2016-2017
2016020416,home,win,4,2,42,39,2016-2017
2016020438,away,loss,1,5,30,22,2016-2017
2016020451,away,loss,3,4,44,32,2016-2017
2016020457,away,win,3,1,23,31,2016-2017
2016020487,home,win,4,3,39,36,2016-2017
2016020501,home,loss,1,3,30,33,2016-2017
2016020510,home,loss,3,4,34,39,2016-2017
2016020527,home,loss,2,3,47,40,2016-2017
2016020536,home,overtime loss,2,3,33,41,2016-2017
2016020554,away,win,3,1,38,36,2016-2017
2016020572,home,loss,1,4,32,39,2016-2017
2016020585,home,win,2,1,34,29,2016-2017
2016020596,home,loss,0,4,25,37,2016-2017
2016020609,away,win,3,0,29,28,2016-2017
2016020620,away,win,2,1,24,30,2016-2017
2016020636,home,loss,2,5,29,42,2016-2017
2016020645,home,win,4,3,32,33,2016-2017
2016020669,away,loss,2,5,22,29,2016-2017
2016020675,away,overtime loss,3,4,31,31,2016-2017
2016020690,away,loss,1,2,35,32,2016-2017
2016020713,away,overtime loss,2,3,25,42,2016-2017
2016020734,home,win,2,1,37,32,2016-2017
2016020748,home,win,6,5,34,41,2016-2017
2016020768,home,win,2,1,37,23,2016-2017
2016020810,home,loss,3,6,39,26,2016-2017
2016020818,away,win,7,4,37,31,2016-2017
2016020846,away,win,6,5,22,36,2016-2017
2016020857,away,win,4,1,31,36,2016-2017
2016020868,away,win,3,2,25,35,2016-2017
2016020880,away,win,2,1,33,27,2016-2017
2016020891,home,loss,3,4,34,35,2016-2017
2016020901,home,loss,2,4,38,28,2016-2017
2016020916,home,loss,1,2,38,33,2016-2017
2016020927,home,win,3,2,31,25,2016-2017
2016020938,away,loss,1,2,40,49,2016-2017
2016020955,home,loss,1,2,42,34,2016-2017
2016020976,home,loss,2,5,45,28,2016-2017
2016020997,home,loss,4,7,40,46,2016-2017
2016021003,away,loss,2,3,34,34,2016-2017
2016021029,home,win,7,2,32,30,2016-2017
2016021041,away,loss,1,2,34,34,2016-2017
2016021049,away,win,4,3,37,32,2016-2017
2016021064,away,loss,0,4,21,28,2016-2017
2016021081,home,loss,3,4,35,25,2016-2017
2016021094,home,win,3,1,39,23,2016-2017
2016021109,home,win,7,0,31,25,2016-2017
2016021122,away,loss,2,4,32,32,2016-2017
2016021131,away,loss,2,3,27,25,2016-2017
2016021144,away,loss,2,6,31,33,2016-2017
2016021157,away,loss,2,5,26,29,2016-2017
2016021178,home,loss,1,4,32,31,2016-2017
2016021199,home,loss,3,6,32,38,2016-2017
2016021213,home,win,3,0,37,30,2016-2017
2016021228,away,win,2,0,21,38,2016-2017
2017010017,away,win,5,3,28,34,2017-2018
2017010018,away,overtime loss,2,3,26,19,2017-2018
2017010059,away,win,4,2,28,29,2017-2018
2017010078,home,win,4,2,33,40,2017-2018
2017010092,home,win,5,2,33,36,2017-2018
2017010093,away,loss,1,3,23,23,2017-2018
2017020014,away,loss,3,5,36,25,2017-2018
2017020018,home,win,5,4,48,30,2017-2018
2017020052,home,win,5,2,38,39,2017-2018
2017020067,away,loss,3,4,46,33,2017-2018
2017020083,away,loss,1,5,41,39,2017-2018
2017020107,home,loss,3,4,31,48,2017-2018
2017020116,away,win,4,1,23,42,2017-2018
2017020130,away,loss,1,5,27,37,2017-2018
2017020145,home,win,8,3,22,34,2017-2018
2017020160,home,loss,2,3,46,38,2017-2018
2017020174,home,loss,5,8,23,38,2017-2018
2017020190,home,loss,3,7,34,40,2017-2018
2017020203,home,overtime loss,4,5,34,44,2017-2018
2017020227,away,loss,1,3,31,48,2017-2018
2017020242,away,win,4,1,31,25,2017-2018
2017020254,away,loss,1,2,33,21,2017-2018
2017020269,home,win,4,3,29,43,2017-2018
2017020289,away,win,2,0,28,35,2017-2018
2017020296,away,loss,0,4,24,20,2017-2018
2017020309,away,loss,2,3,52,28,2017-2018
2017020321,home,win,2,1,43,44,2017-2018
2017020352,home,loss,1,4,38,39,2017-2018
2017020362,away,win,3,2,38,25,2017-2018
2017020369,away,win,5,4,27,37,2017-2018
2017020392,home,loss,1,2,40,32,2017-2018
2017020403,away,overtime loss,2,3,39,47,2017-2018
2017020413,home,loss,4,5,43,32,2017-2018
2017020434,home,win,6,4,36,39,2017-2018
2017020448,home,loss,3,7,42,30,2017-2018
2017020463,away,win,2,1,29,35,2017-2018
2017020473,away,overtime loss,2,3,37,28,2017-2018
2017020486,away,loss,1,2,33,30,2017-2018
2017020510,away,loss,2,5,18,40,2017-2018
2017020523,away,win,3,2,26,41,2017-2018
2017020540,home,win,4,2,34,31,2017-2018
2017020546,home,win,1,0,38,38,2017-2018
2017020571,home,win,3,2,27,31,2017-2018
2017020588,home,win,2,0,33,38,2017-2018
2017020608,away,loss,1,5,26,41,2017-2018
2017020630,away,loss,2,4,40,19,2017-2018
2017020647,away,loss,2,3,44,48,2017-2018
2017020657,away,win,7,4,36,30,2017-2018
2017020666,home,loss,2,4,43,29,2017-2018
2017020705,home,win,4,3,26,36,2017-2018
2017020716,away,loss,3,4,40,29,2017-2018
2017020738,away,loss,1,6,34,39,2017-2018
2017020752,home,loss,2,4,34,46,2017-2018
2017020763,away,win,4,1,40,33,2017-2018
2017020777,away,win,4,2,32,32,2017-2018
2017020796,home,win,3,2,33,28,2017-2018
2017020818,home,win,3,1,41,27,2017-2018
2017020838,home,loss,1,3,36,26,2017-2018
2017020862,away,win,7,5,40,32,2017-2018
2017020878,away,win,4,3,34,37,2017-2018
2017020903,away,win,6,3,30,33,2017-2018
2017020910,away,loss,2,7,27,34,2017-2018
2017020918,away,loss,0,1,40,31,2017-2018
2017020936,home,win,3,2,33,35,2017-2018
2017020951,home,win,6,5,30,37,2017-2018
2017020972,home,win,3,2,31,39,2017-2018
2017020985,home,win,3,2,29,31,2017-2018
2017020992,home,win,4,1,30,25,2017-2018
2017021008,home,win,4,1,26,40,2017-2018
2017021024,away,overtime loss,4,5,49,33,2017-2018
2017021038,home,win,5,0,32,40,2017-2018
2017021056,home,win,4,3,35,37,2017-2018
2017021067,home,loss,3,5,38,25,2017-2018
2017021087,home,win,3,0,28,46,2017-2018
2017021099,home,loss,2,4,42,36,2017-2018
2017021118,away,win,2,0,40,28,2017-2018
2017021125,away,win,7,2,39,35,2017-2018
2017021139,away,loss,0,4,33,33,2017-2018
2017021156,home,win,4,2,47,28,2017-2018
2017021169,away,win,3,0,41,32,2017-2018
2017021186,away,loss,3,4,33,35,2017-2018
2017021193,away,overtime loss,2,3,26,30,2017-2018
2017021206,away,loss,1,5,31,33,2017-2018
2017021225,home,win,3,2,35,29,2017-2018
2017021234,home,win,2,1,33,46,2017-2018
2017021247,home,win,3,2,35,28,2017-2018
2017021261,home,win,4,3,27,41,2017-2018
2017020616,away,win,4,2,26,43,2017-2018
2018010005,home,loss,0,5,27,31,2018-2019
2018010007,home,loss,3,5,26,28,2018-2019
2018010029,away,win,5,2,41,33,2018-2019
2018010055,away,win,4,3,29,23,2018-2019
2018010071,away,win,3,2,28,29,2018-2019
2018010085,away,loss,2,6,38,32,2018-2019
2018010100,home,loss,2,3,33,26,2018-2019
2018020019,away,loss,1,2,43,29,2018-2019
2018020047,home,loss,4,5,41,32,2018-2019
2018020064,home,loss,2,3,26,30,2018-2019
2018020080,away,loss,5,6,26,26,2018-2019
2018020099,away,win,6,5,30,31,2018-2019
2018020108,home,overtime loss,3,4,37,31,2018-2019
2018020122,away,loss,2,5,38,22,2018-2019
2018020130,away,win,3,2,41,22,2018-2019
2018020148,away,loss,2,3,37,26,2018-2019
2018020180,home,loss,2,4,38,36,2018-2019
2018020192,away,win,4,2,26,34,2018-2019
2018020228,home,win,4,1,33,27,2018-2019
2018020248,home,win,4,2,31,31,2018-2019
2018020254,home,win,5,1,40,35,2018-2019
2018020267,away,win,2,1,30,31,2018-2019
2018020280,away,loss,3,7,43,37,2018-2019
2018020296,away,loss,2,4,41,24,2018-2019
2018020312,away,win,7,5,32,38,2018-2019
2018020325,away,loss,3,7,43,33,2018-2019
2018020342,away,loss,1,4,35,39,2018-2019
2018020351,home,overtime loss,4,5,38,41,2018-2019
2018020363,home,win,4,3,34,32,2018-2019
2018020378,home,loss,2,3,44,25,2018-2019
2018020390,home,win,3,2,43,24,2018-2019
2018020399,home,overtime loss,4,5,27,39,2018-2019
2018020417,home,win,5,0,44,33,2018-2019
2018020430,home,loss,2,5,35,37,2018-2019
2018020450,home,loss,4,5,31,26,2018-2019
2018020470,away,loss,3,4,25,33,2018-2019
2018020484,away,loss,1,5,31,26,2018-2019
2018020497,home,win,4,3,33,32,2018-2019
2018020517,away,win,5,2,36,32,2018-2019
2018020531,away,loss,1,6,26,26,2018-2019
2018020547,away,win,2,1,23,34,2018-2019
2018020562,away,win,6,3,27,29,2018-2019
2018020580,home,loss,3,5,26,28,2018-2019
2018020591,home,win,2,1,36,35,2018-2019
2018020606,away,win,4,3,27,20,2018-2019
2018020623,away,loss,3,4,38,33,2018-2019
2018020641,home,overtime loss,3,4,30,35,2018-2019
2018020660,away,loss,1,5,37,31,2018-2019
2018020679,away,loss,3,4,30,24,2018-2019
2018020685,away,loss,3,4,27,24,2018-2019
2018020703,away,loss,1,5,24,36,2018-2019
2018020714,away,loss,1,5,53,28,2018-2019
2018020733,home,win,3,1,29,21,2018-2019
2018020747,away,win,4,2,30,39,2018-2019
2018020758,home,win,6,2,30,29,2018-2019
2018020782,home,loss,1,4,28,26,2018-2019
2018020793,home,win,3,1,25,35,2018-2019
2018020811,home,loss,2,3,24,34,2018-2019
2018020824,home,win,3,2,42,31,2018-2019
2018020848,away,win,5,4,31,30,2018-2019
2018020858,home,loss,2,5,27,23,2018-2019
2018020865,home,loss,0,3,30,19,2018-2019
2018020877,home,win,3,2,32,43,2018-2019
2018020908,home,win,6,3,36,31,2018-2019
2018020916,home,win,4,2,41,34,2018-2019
2018020930,home,loss,3,4,30,25,2018-2019
2018020948,home,win,6,1,25,19,2018-2019
2018020966,away,win,4,3,38,39,2018-2019
2018020977,away,loss,3,4,27,40,2018-2019
2018020989,away,loss,5,6,37,46,2018-2019
2018021005,home,overtime loss,3,4,34,26,2018-2019
2018021013,home,loss,2,3,32,33,2018-2019
2018021022,away,overtime loss,2,3,34,37,2018-2019
2018021033,away,loss,3,4,25,28,2018-2019
2018021044,home,win,6,2,29,27,2018-2019
2018021060,home,win,6,1,43,20,2018-2019
2018021092,away,win,4,2,27,28,2018-2019
2018021101,away,win,4,3,35,27,2018-2019
2018021116,away,loss,2,3,39,22,2018-2019
2018021130,away,loss,2,4,22,36,2018-2019
2018021136,home,win,4,2,22,34,2018-2019
2018021156,home,loss,3,7,34,39,2018-2019
2018021169,away,loss,5,7,36,37,2018-2019
2018021180,away,loss,1,6,34,27,2018-2019
2018021192,away,win,5,2,34,30,2018-2019
2018021204,away,win,4,1,23,31,2018-2019
2018021221,home,win,5,3,34,30,2018-2019
2018021244,home,loss,1,2,30,36,2018-2019
2018021262,home,overtime loss,3,4,40,27,2018-2019
2019010002,away,loss,3,6,23,29,2019-2020
2019010008,away,loss,0,1,27,27,2019-2020
2019010024,away,loss,3,4,21,19,2019-2020
2019010034,away,loss,4,5,18,46,2019-2020
2019010051,away,win,6,0,42,30,2019-2020
2019010067,home,win,6,3,24,22,2019-2020
2019010083,home,loss,2,4,32,25,2019-2020
2019010097,away,win,1,0,28,26,2019-2020
2019020005,away,loss,2,5,37,30,2019-2020
2019020021,home,win,4,3,28,35,2019-2020
2019020036,home,loss,3,6,50,35,2019-2020
2019020058,away,loss,2,3,43,32,2019-2020
2019020067,away,loss,2,3,37,28,2019-2020
2019020080,away,win,6,4,34,21,2019-2020
2019020107,home,overtime loss,4,5,44,41,2019-2020
2019020121,away,win,3,2,30,27,2019-2020
2019020135,home,win,4,2,22,25,2019-2020
2019020153,away,loss,5,6,23,24,2019-2020
2019020170,away,win,6,2,29,26,2019-2020
2019020178,away,loss,2,7,31,36,2019-2020
2019020191,away,win,4,3,38,30,2019-2020
2019020208,home,win,4,0,41,22,2019-2020
2019020238,home,overtime loss,4,5,36,31,2019-2020
2019020252,away,loss,1,2,38,36,2019-2020
2019020263,away,win,6,5,35,34,2019-2020
2019020272,away,win,5,4,29,38,2019-2020
2019020288,home,loss,3,4,37,30,2019-2020
2019020306,home,win,4,3,30,33,2019-2020
2019020319,home,win,5,2,26,37,2019-2020
2019020334,home,win,5,4,28,32,2019-2020
2019020355,away,loss,2,4,23,34,2019-2020
2019020362,home,loss,2,5,45,26,2019-2020
2019020383,away,loss,3,4,40,20,2019-2020
2019020408,home,win,3,0,28,27,2019-2020
2019020426,home,loss,2,4,46,26,2019-2020
2019020457,home,win,4,1,27,34,2019-2020
2019020464,home,win,5,1,33,31,2019-2020
2019020473,home,loss,1,2,28,48,2019-2020
2019020489,home,loss,1,3,33,30,2019-2020
2019020508,home,loss,2,4,33,42,2019-2020
2019020519,home,win,6,1,31,30,2019-2020
2019020548,home,win,7,4,33,31,2019-2020
2019020559,away,win,4,2,22,44,2019-2020
2019020572,away,loss,1,6,30,34,2019-2020
2019020595,home,win,5,4,30,39,2019-2020
2019020608,home,win,6,5,34,43,2019-2020
2019020619,away,loss,1,4,37,28,2019-2020
2019020632,away,win,6,3,31,31,2019-2020
2019020645,away,loss,2,3,34,18,2019-2020
2019020654,away,win,4,1,35,32,2019-2020
2019020664,home,loss,2,5,39,37,2019-2020
2019020681,home,win,5,2,49,32,2019-2020
2019020707,home,win,8,4,29,47,2019-2020
2019020729,home,win,4,3,26,30,2019-2020
2019020749,away,win,4,1,38,28,2019-2020
2019020760,away,win,5,4,25,33,2019-2020
2019020765,away,win,4,3,26,35,2019-2020
2019020794,away,loss,0,4,29,35,2019-2020
2019020809,away,win,5,3,21,34,2019-2020
2019020818,away,overtime loss,0,1,32,45,2019-2020
2019020830,home,loss,2,7,25,39,2019-2020
2019020847,home,loss,2,3,35,22,2019-2020
2019020861,away,loss,1,4,31,34,2019-2020
2019020868,away,win,5,3,33,28,2019-2020
2019020883,home,loss,2,6,28,28,2019-2020
2019020898,home,loss,1,4,34,29,2019-2020
2019020917,away,win,5,3,28,32,2019-2020
2019020931,away,win,4,1,32,36,2019-2020
2019020940,away,loss,4,5,29,40,2019-2020
2019020957,away,loss,3,5,35,39,2019-2020
2019020979,away,win,2,1,26,38,2019-2020
2019020987,home,loss,3,5,27,29,2019-2020
2019021002,home,loss,2,3,40,29,2019-2020
2019021012,home,loss,0,3,38,28,2019-2020
2019021035,home,overtime loss,1,2,33,28,2019-2020
2019021054,home,win,4,1,32,34,2019-2020
2019021075,away,win,2,1,34,27,2019-2020
2019011004,home,loss,0,5,26,34,2019-2020
2019030041,away,loss,1,2,28,28,2019-2020
2019030042,away,loss,2,4,28,34,2019-2020
2019030043,home,win,3,2,22,22,2019-2020
2019030044,home,loss,1,5,25,38,2019-2020
2020020034,home,win,5,2,36,30,2020-2021
2020020049,home,win,5,4,30,36,2020-2021
2020020098,away,win,4,3,31,22,2020-2021
2020020114,away,loss,2,3,35,31,2020-2021
2020020130,away,win,3,2,26,27,2020-2021
2020020139,away,win,3,2,30,34,2020-2021
2020020165,home,overtime loss,5,6,36,41,2020-2021
2020020176,home,win,2,1,36,25,2020-2021
2020020189,home,loss,1,4,37,39,2020-2021
2020020203,home,win,2,1,22,32,2020-2021
2020020217,home,win,5,2,29,21,2020-2021
2020020232,home,loss,1,6,34,28,2020-2021
2020020256,away,win,6,4,21,31,2020-2021
2020020062,away,win,4,3,37,35,2020-2021
2020020275,away,win,7,2,39,32,2020-2021
2020020292,away,loss,1,2,39,27,2020-2021
2020020009,home,win,3,1,52,25,2020-2021
2020020303,home,loss,0,3,43,26,2020-2021
2020020315,home,win,3,2,35,39,2020-2021
2020020330,home,loss,3,4,31,33,2020-2021
2020020348,home,overtime loss,2,3,46,31,2020-2021
2020020368,away,win,5,4,38,35,2020-2021
2020020381,away,win,6,2,32,30,2020-2021
2020020076,away,loss,2,4,23,26,2020-2021
2020020406,away,win,4,2,33,40,2020-2021
2020020420,away,win,5,4,32,32,2020-2021
2020020435,home,win,4,2,35,32,2020-2021
2020020449,home,win,6,3,36,29,2020-2021
2020020472,home,loss,1,2,41,27,2020-2021
2020020487,home,win,2,0,49,21,2020-2021
2020020828,away,loss,3,5,32,24,2020-2021
2020020505,away,loss,2,3,35,32,2020-2021
2020020519,away,loss,0,3,41,21,2020-2021
2020020538,away,win,4,3,28,34,2020-2021
2020020547,away,win,4,1,23,34,2020-2021
2020020560,home,win,4,1,33,36,2020-2021
2020020575,home,win,3,2,36,27,2020-2021
2020020590,home,win,5,2,39,46,2020-2021
2020020600,home,win,3,0,35,32,2020-2021
2020020615,away,loss,2,5,36,36,2020-2021
2020020629,away,loss,0,3,24,22,2020-2021
2020020648,away,loss,1,4,21,20,2020-2021
2020020670,away,win,3,2,31,26,2020-2021
2020020679,away,overtime loss,2,3,38,19,2020-2021
2020020694,away,win,5,3,32,31,2020-2021
2020020707,home,win,4,2,39,36,2020-2021
2020020719,home,win,5,1,33,34,2020-2021
2020020732,home,loss,2,4,34,29,2020-2021
2020020745,home,win,4,3,36,19,2020-2021
2020020758,away,loss,1,4,40,27,2020-2021
2020020773,away,win,7,4,55,30,2020-2021
2020020787,away,win,4,3,39,27,2020-2021
2020020802,away,win,5,4,42,35,2020-2021
2020020020,home,win,5,4,43,29,2020-2021
2020020857,home,win,5,1,35,29,2020-2021
